dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000386,13.468500,0.000345,0.068966,6.896552,689.655172,6.283157
0.010000,0.000310,13.468500,0.000421,0.007617,-6.134878,-1303.142959,6.283162
0.010000,0.000139,13.468500,0.000592,0.017138,0.952082,708.695976,6.283175
0.010000,0.002840,13.468500,0.003294,0.270128,25.299024,2434.694173,0.000012
0.010000,0.010985,13.468500,0.011438,0.814466,54.433812,2913.478836,0.000048
0.010000,0.022713,13.468501,0.023167,1.172832,35.836648,-1859.716349,0.000099
0.010000,0.038677,13.468503,0.039130,1.596358,42.352590,651.594114,0.000168
0.010000,0.059527,13.468508,0.059981,2.085044,48.868613,651.602310,0.000258
0.010000,0.085916,13.468516,0.086370,2.638893,55.384821,651.620844,0.000373
0.010000,0.118495,13.468530,0.118949,3.257905,61.901208,651.638669,0.000514
0.010000,0.157916,13.468554,0.158369,3.942084,68.417931,651.672305,0.000685
0.010000,0.204830,13.468591,0.205284,4.691433,74.934873,651.694242,0.000889
0.010000,0.259890,13.468647,0.260343,5.505955,81.452225,651.735195,0.001127
0.010000,0.323746,13.468727,0.324200,6.385655,87.970040,651.781465,0.001404
0.010000,0.397051,13.468842,0.397505,7.330539,94.488386,651.834615,0.001722
0.010000,0.480457,13.469001,0.480911,8.340613,101.007336,651.894941,0.002084
0.010000,0.574616,13.469216,0.575070,9.415882,107.526966,651.963075,0.002492
0.010000,0.680179,13.469503,0.680634,10.556357,114.047454,652.048784,0.002949
0.010000,0.797799,13.469880,0.798254,11.762045,120.568801,652.134695,0.003459
0.010000,0.928128,13.470368,0.928584,13.032957,127.091204,652.240260,0.004023
0.010000,1.071817,13.470991,1.072275,14.369104,133.614758,652.355408,0.004645
0.010000,1.229520,13.471777,1.229980,15.770500,140.139556,652.479800,0.005328
0.010000,1.401889,13.472759,1.402351,17.237158,146.665835,652.627898,0.006073
0.010000,1.589576,13.473976,1.590042,18.769095,153.193709,652.787416,0.006885
0.010000,1.793234,13.475467,1.793706,20.366328,159.723304,652.959529,0.007765
0.010000,2.013515,13.477283,2.013994,22.028877,166.254881,653.157689,0.008716
0.010000,2.251073,13.479475,2.251562,23.756763,172.788540,653.365861,0.009742
0.010000,2.506559,13.482105,2.507062,25.550009,179.324622,653.608193,0.010844
0.010000,2.780628,13.485239,2.781149,27.408641,185.863200,653.857812,0.012026
0.010000,3.073605,13.488947,3.074150,29.300095,189.145375,328.217557,0.013288
0.010000,3.385493,13.493301,3.386068,31.191801,189.170600,2.522492,0.014630
0.010000,3.716292,13.498377,3.716905,33.083779,189.197848,2.724811,0.016053
0.010000,4.066003,13.504254,4.066666,34.976050,189.227125,2.927691,0.017556
0.010000,4.434627,13.511018,4.435352,36.868637,189.258655,3.152961,0.019138
0.010000,4.822166,13.518758,4.822968,38.761560,189.292265,3.361003,0.020800
0.010000,5.228619,13.527567,5.229516,40.654842,189.328231,3.596594,0.022541
0.010000,5.653987,13.537545,5.655001,42.548508,189.366653,3.842265,0.024362
0.010000,6.098270,13.548793,6.099427,44.442582,189.407376,4.072259,0.026260
0.010000,6.561469,13.561417,6.562798,46.337090,189.450779,4.340300,0.028237
0.010000,7.043583,13.575531,7.045119,48.232058,189.496774,4.599492,0.030293
0.010000,7.544612,13.591248,7.546394,50.127512,189.545460,4.868594,0.032425
0.010000,8.064554,13.608688,8.066629,52.023483,189.597081,5.162116,0.034635
0.010000,8.603409,13.627976,8.605829,53.919998,189.651481,5.440018,0.036922
0.010000,9.161175,13.649240,9.163999,55.817087,189.708954,5.747288,0.039285
0.010000,9.737849,13.672611,9.741147,57.714783,189.769598,6.064434,0.041724
0.010000,10.333430,13.698226,10.337278,59.613117,189.833314,6.371509,0.044239
0.010000,10.947913,13.726225,10.952400,61.512121,189.900451,6.713738,0.046829
0.010000,11.581296,13.756753,11.586518,63.411831,189.970959,7.050828,0.049493
0.010000,12.233575,13.789959,12.239641,65.312280,190.044943,7.398391,0.052231
0.010000,12.904743,13.825993,12.911776,67.213506,190.122587,7.764351,0.055042
0.010000,13.594796,13.865012,13.602931,69.115545,190.203880,8.129352,0.057926
0.010000,14.303728,13.907176,14.313116,71.018435,190.289008,8.512770,0.060883
0.010000,15.031531,13.952647,15.042338,72.922215,190.378006,8.899796,0.063910
0.010000,15.778197,14.001594,15.790607,74.826925,190.471045,9.303960,0.067009
0.010000,16.543719,14.054186,16.557933,76.732606,190.568092,9.704706,0.070177
0.010000,17.328086,14.110598,17.344326,78.639300,190.669364,10.127175,0.073415
0.010000,18.131288,14.171007,18.149797,80.547049,190.774871,10.550699,0.076721
0.010000,18.953314,14.235593,18.974356,82.455896,190.884729,10.985829,0.080095
0.010000,19.794150,14.304541,19.818014,84.365886,190.998992,11.426242,0.083535
0.010000,20.653785,14.378037,20.680785,86.277064,191.117778,11.878581,0.087042
0.010000,21.531877,14.456242,21.562353,88.156773,187.970892,-314.688550,0.090612
0.010000,22.427760,14.539284,22.462076,89.972325,181.555244,-641.564856,0.094243
0.010000,23.340766,14.627284,23.379313,91.723715,175.138963,-641.628104,0.097930
0.010000,24.270227,14.720354,24.313422,93.410931,168.721643,-641.732009,0.101670
0.010000,25.215475,14.818601,25.263762,95.033960,162.302870,-641.877233,0.105459
0.010000,26.175839,14.922122,26.229690,96.592783,155.882345,-642.052570,0.109295
0.010000,27.150651,15.031004,27.210564,98.087379,149.459592,-642.275228,0.113173
0.010000,28.139240,15.145329,28.205741,99.517722,143.034265,-642.532707,0.117089
0.010000,29.140935,15.265164,29.214579,100.883781,136.605940,-642.832565,0.121042
0.010000,30.155065,15.390572,30.236434,102.185523,130.174231,-643.170886,0.125026
0.010000,31.180961,15.521601,31.270663,103.422911,123.738737,-643.549412,0.129039
0.010000,32.217950,15.658292,32.316622,104.595901,117.299057,-643.967937,0.133077
0.010000,33.265361,15.800673,33.373667,105.704449,110.854801,-644.425581,0.137136
0.010000,34.322524,15.948763,34.441152,106.748505,104.405585,-644.921613,0.141215
0.010000,35.388768,16.102571,35.518432,107.728016,97.951029,-645.455668,0.145308
0.010000,36.463422,16.262091,36.604861,108.642923,91.490762,-646.026666,0.149414
0.010000,37.545817,16.427310,37.699793,109.493167,85.024428,-646.633411,0.153528
0.010000,38.635282,16.598200,38.802580,110.278684,78.551682,-647.274577,0.157648
0.010000,39.731150,16.774726,39.912574,110.999406,72.072177,-647.950469,0.161770
0.010000,40.832751,16.956837,41.029126,111.655262,65.585627,-648.654990,0.165892
0.010000,41.939419,17.144473,42.151588,112.246179,59.091706,-649.392176,0.170010
0.010000,43.050486,17.337562,43.279309,112.772081,52.590143,-650.156267,0.174122
0.010000,44.165288,17.536020,44.411638,113.232887,46.080653,-650.948956,0.178225
0.010000,45.283159,17.739753,45.547923,113.628518,39.563046,-651.760770,0.182315
0.010000,46.403437,17.948655,46.687512,113.958888,33.037026,-652.601977,0.186391
0.010000,47.525460,18.162607,47.829751,114.223913,26.502461,-653.456479,0.190449
0.010000,48.648566,18.381481,48.973986,114.423504,19.959130,-654.333103,0.194487
0.010000,49.772097,18.605137,50.119562,114.557573,13.406899,-655.223100,0.198502
0.010000,50.895395,18.833425,51.265822,114.626029,6.845603,-656.129590,0.202492
0.010000,52.018125,19.066251,52.412439,114.661735,3.570567,-327.503640,0.206456
0.010000,53.140278,19.303584,53.559415,114.697603,3.586856,1.628873,0.210393
0.010000,54.261843,19.545394,54.706752,114.733625,3.602133,1.527721,0.214303
0.010000,55.382811,19.791650,55.854449,114.769789,3.616434,1.430129,0.218186
0.010000,56.503171,20.042321,57.002510,114.806087,3.629828,1.339438,0.222042
0.010000,57.622915,20.297377,58.150935,114.842509,3.642194,1.236511,0.225871
0.010000,58.742034,20.556786,59.299726,114.879047,3.653742,1.154839,0.229674
0.010000,59.860519,20.820517,60.448883,114.915689,3.664292,1.055008,0.233448
0.010000,60.978361,21.088538,61.598407,114.952429,3.673999,0.970732,0.237196
0.010000,62.095552,21.360819,62.748300,114.989258,3.682837,0.883791,0.240916
0.010000,63.212084,21.637328,63.898561,115.026166,3.690799,0.796189,0.244609
0.010000,64.327950,21.918033,65.049193,115.063145,3.697915,0.711628,0.248275
0.010000,65.443143,22.202902,66.200195,115.100187,3.704230,0.631456,0.251913
0.010000,66.557655,22.491905,67.351567,115.137285,3.709747,0.551730,0.255523
0.010000,67.671480,22.785008,68.503312,115.174429,3.714469,0.472127,0.259106
