dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000386,-13.468500,0.000345,0.068966,6.896552,689.655172,6.283157
0.010000,-0.000310,-13.468500,0.000421,0.007617,-6.134878,-1303.142959,6.283162
0.010000,-0.000139,-13.468500,0.000592,0.017138,0.952082,708.695976,6.283175
0.010000,0.003172,-13.468500,0.003903,0.331061,31.392313,3044.023110,0.000012
0.010000,0.012269,-13.468500,0.013000,0.909672,57.861133,2646.882032,0.000048
0.010000,0.025368,-13.468499,0.026099,1.309926,40.025407,-1783.572644,0.000099
0.010000,0.043197,-13.468496,0.043928,1.782952,47.302610,727.720262,0.000168
0.010000,0.066485,-13.468491,0.067216,2.328749,54.579649,727.703963,0.000258
0.010000,0.095958,-13.468482,0.096689,2.947314,61.856557,727.690782,0.000373
0.010000,0.132345,-13.468466,0.133076,3.638647,69.133228,727.667138,0.000514
0.010000,0.176372,-13.468440,0.177103,4.402744,76.409730,727.650213,0.000685
0.010000,0.228768,-13.468398,0.229499,5.239602,83.685810,727.607984,0.000889
0.010000,0.290260,-13.468336,0.290991,6.149217,90.961545,727.573422,0.001127
0.010000,0.361576,-13.468246,0.362307,7.131586,98.236843,727.529848,0.001404
0.010000,0.443443,-13.468118,0.444174,8.186702,105.511619,727.477579,0.001722
0.010000,0.536588,-13.467941,0.537320,9.314560,112.785773,727.415457,0.002084
0.010000,0.641739,-13.467700,0.642471,10.515152,120.059200,727.342625,0.002492
0.010000,0.759624,-13.467380,0.760356,11.788471,127.331883,727.268353,0.002949
0.010000,0.890968,-13.466959,0.891701,13.134507,134.603598,727.171507,0.003459
0.010000,1.036500,-13.466414,1.037233,14.553250,141.874318,727.071979,0.004023
0.010000,1.196945,-13.465719,1.197680,16.044689,149.143884,726.956577,0.004645
0.010000,1.373031,-13.464841,1.373768,17.608810,156.412112,726.822851,0.005328
0.010000,1.565484,-13.463744,1.566224,19.245599,163.678960,726.684744,0.006073
0.010000,1.775030,-13.462386,1.775775,20.955041,170.944221,726.526178,0.006885
0.010000,2.002395,-13.460721,2.003146,22.737118,178.207681,726.345944,0.007765
0.010000,2.248305,-13.458694,2.249064,24.591811,185.469245,726.156363,0.008716
0.010000,2.513484,-13.456247,2.514255,26.519097,192.728611,725.936647,0.009742
0.010000,2.798659,-13.453311,2.799445,28.518954,199.985718,725.710666,0.010844
0.010000,3.104552,-13.449813,3.105358,30.591356,207.240169,725.445115,0.012026
0.010000,3.431525,-13.445675,3.432357,32.699901,210.854558,361.438888,0.013288
0.010000,3.779573,-13.440816,3.780439,34.808194,210.829303,-2.525427,0.014630
0.010000,4.148692,-13.435153,4.149601,36.916215,210.802066,-2.723769,0.016053
0.010000,4.538876,-13.428595,4.539841,39.023942,210.772707,-2.935924,0.017556
0.010000,4.950121,-13.421049,4.951154,41.131355,210.741324,-3.138259,0.019138
0.010000,5.382419,-13.412415,5.383539,43.238431,210.707567,-3.375670,0.020800
0.010000,5.835764,-13.402589,5.836990,45.345147,210.671579,-3.598858,0.022541
0.010000,6.310148,-13.391462,6.311505,47.451480,210.633299,-3.827949,0.024362
0.010000,6.805563,-13.378920,6.807079,49.557404,210.592377,-4.092253,0.026260
0.010000,7.322000,-13.364844,7.323708,51.662894,210.549053,-4.332405,0.028237
0.010000,7.859449,-13.349111,7.861387,53.767924,210.503040,-4.601215,0.030293
0.010000,8.417899,-13.331593,8.420112,55.872467,210.454258,-4.878224,0.032425
0.010000,8.997338,-13.312157,8.999877,57.976495,210.402781,-5.147677,0.034635
0.010000,9.597754,-13.290665,9.600676,60.079977,210.348236,-5.454568,0.036922
0.010000,10.219131,-13.266977,10.222505,62.182885,210.290745,-5.749067,0.039285
0.010000,10.861456,-13.240945,10.865357,64.285187,210.230213,-6.053160,0.041724
0.010000,11.524711,-13.212419,11.529226,66.386850,210.166321,-6.389257,0.044239
0.010000,12.208880,-13.181245,12.214104,68.487842,210.099250,-6.707115,0.046829
0.010000,12.913942,-13.147262,12.919985,70.588130,210.028733,-7.051688,0.049493
0.010000,13.639879,-13.110307,13.646862,72.687677,209.954677,-7.405581,0.052231
0.010000,14.386668,-13.070213,14.394727,74.786447,209.877078,-7.759911,0.055042
0.010000,15.154286,-13.026808,15.163571,76.884405,209.795717,-8.136075,0.057926
0.010000,15.942708,-12.979916,15.953386,78.981510,209.710594,-8.512290,0.060883
0.010000,16.751907,-12.929359,16.764163,81.077726,209.621547,-8.904737,0.063910
0.010000,17.581856,-12.874953,17.595893,83.173012,209.528567,-9.297988,0.067009
0.010000,18.432524,-12.816511,18.448566,85.267326,209.431423,-9.714435,0.070177
0.010000,19.303880,-12.753843,19.322173,87.360628,209.330167,-10.125582,0.073415
0.010000,20.195889,-12.686755,20.216701,89.452874,209.224629,-10.553768,0.076721
0.010000,21.108517,-12.615050,21.132142,91.544021,209.114764,-10.986546,0.080095
0.010000,22.041725,-12.538528,22.068482,93.634026,209.000463,-11.430127,0.083535
0.010000,22.995474,-12.456986,23.025710,95.722843,208.881700,-11.876235,0.087042
0.010000,23.969361,-12.370249,24.003452,97.774163,205.132022,-374.967862,0.090612
0.010000,24.962620,-12.278181,25.000969,99.751709,197.754531,-737.749060,0.094243
0.010000,25.974486,-12.180653,26.017524,101.655486,190.377746,-737.678515,0.097930
0.010000,27.004191,-12.077545,27.052379,103.485506,183.001997,-737.574889,0.101670
0.010000,28.050970,-11.968746,28.104797,105.241782,175.627626,-737.437124,0.105459
0.010000,29.114055,-11.854153,29.174040,106.924333,168.255113,-737.251314,0.109295
0.010000,30.192679,-11.733674,30.259372,108.533181,160.884759,-737.035324,0.113173
0.010000,31.286076,-11.607230,31.360055,110.068351,153.517015,-736.774434,0.117089
0.010000,32.393478,-11.474748,32.475354,111.529874,146.152250,-736.476477,0.121042
0.010000,33.514120,-11.336170,33.604532,112.917782,138.790881,-736.136923,0.125026
0.010000,34.647237,-11.191446,34.746853,114.232115,131.433302,-735.757863,0.129039
0.010000,35.792063,-11.040541,35.901582,115.472915,124.079906,-735.339592,0.133077
0.010000,36.947835,-10.883430,37.067985,116.640225,116.731086,-734.882018,0.137136
0.010000,38.113792,-10.720100,38.245326,117.734098,109.387230,-734.385581,0.141215
0.010000,39.289172,-10.550550,39.432871,118.754585,102.048716,-733.851479,0.145308
0.010000,40.473216,-10.374792,40.629889,119.701744,94.715911,-733.280466,0.149414
0.010000,41.665166,-10.192851,41.835645,120.575636,87.389176,-732.673515,0.153528
0.010000,42.864268,-10.004763,43.049408,121.376324,80.068858,-732.031779,0.157648
0.010000,44.069767,-9.810578,44.270447,122.103877,72.755273,-731.358517,0.161770
0.010000,45.280912,-9.610358,45.498031,122.758365,65.448770,-730.650245,0.165892
0.010000,46.496956,-9.404177,46.731429,123.339861,58.149621,-729.914898,0.170010
0.010000,47.717151,-9.192124,47.969914,123.848442,50.858122,-729.149895,0.174122
0.010000,48.940755,-8.974296,49.212756,124.284187,43.574512,-728.361080,0.178225
0.010000,50.167028,-8.750807,50.459228,124.647178,36.299089,-727.542247,0.182315
0.010000,51.395232,-8.521781,51.708603,124.937498,29.031999,-726.709049,0.186391
0.010000,52.624633,-8.287354,52.960155,125.155233,21.773515,-725.848365,0.190449
0.010000,53.854501,-8.047674,54.213160,125.300471,14.523769,-724.974557,0.194487
0.010000,55.084107,-7.802901,55.466893,125.373300,7.282941,-724.082825,0.198502
0.010000,56.312730,-7.553209,56.720631,125.373812,0.051127,-723.181460,0.202492
0.010000,57.540000,-7.298704,57.974012,125.338108,-3.570365,-362.149200,0.206456
0.010000,58.765904,-7.039428,59.227034,125.302242,-3.586624,-1.625839,0.210393
0.010000,59.990429,-6.775420,60.479696,125.266223,-3.601921,-1.529763,0.214303
0.010000,61.213564,-6.506720,61.731997,125.230060,-3.616251,-1.432996,0.218186
0.010000,62.435295,-6.233369,62.983935,125.193764,-3.629571,-1.331986,0.222042
0.010000,63.655611,-5.955405,64.235508,125.157344,-3.642048,-1.247678,0.225871
0.010000,64.874502,-5.672869,65.486716,125.120809,-3.653484,-1.143620,0.229674
0.010000,66.091957,-5.385802,66.737558,125.084168,-3.664113,-1.062843,0.233448
0.010000,67.307967,-5.094243,67.988032,125.047430,-3.673799,-0.968659,0.237196
0.010000,68.522522,-4.798233,69.238138,125.010604,-3.682609,-0.880976,0.240916
0.010000,69.735613,-4.497812,70.487875,124.973698,-3.690585,-0.797642,0.244609
